Content,NB_Emotion_Predicted,SVM_Emotion_Predicted,KNN_Emotion_Predicted,Emotion_Actual
down payment problem you may never have Joyce Meyer motivation leadership worry,fear,fear,fear,fear
primarily the person youâ talk rather than yourself and the impression youâ make lessen social anxiety,fear,fear,fear,fear
get depress,sadness,sadness,sadness,sadness
fix this home away deptch chart invalid glitch have close madden and open everytime this happen,sadness,anger,fear,anger
can never find the exact emoji that after the exact moment that need panic,fear,fear,fear,fear
beautiful day today Cloudy but sunny and breezy,joy,joy,joy,joy
ANI_news Pakistan should stop cross border terrorism they really need solution for KashmirIssue sir India should act,fear,fear,fear,fear
make better_world depress when failure,sadness,sadness,sadness,sadness
what you have amp enjoy your life nUse your smile help others use theirs,joy,joy,fear,joy
the Oblivion score drink coffee research for new sci animate project,joy,joy,fear,joy
Lord thy God the midst thee mighty will save will rejoice over thee with joy nZephaniah KJV,joy,joy,joy,joy
awe that adorable,fear,fear,fear,fear
Just because hurt nDoesn mean hurt nDoesn mean didn get nWhat deserve nNo better and worse lose,sadness,sadness,joy,sadness
DemPhillyEagles StonedPhillyFan don ever compare those scrub ben shake off your whole and throw,fear,fear,fear,fear
self Stop laugh things that offend you get mad people NoteToSelf mad upset,anger,anger,anger,anger
job train too much meat eat well Also get approve drive for Lyft Just need car day35 sober,sadness,sadness,fear,sadness
love those memories that randomly pop ninto head have smile like idiot for age ó¾Œ,joy,joy,fear,joy
cry out fear clear path nBut Voice seem silent chase rat nAm just indoor expect open door weak wise fool,fear,fear,fear,fear
Really sad amp surprise side Russia fight against amp the other support Pak which epic centre terrorism,fear,fear,fear,fear
much news about Pakistan Afghanistan etc need more cheery news about Frybread Stands Everyone media just grim,fear,fear,fear,joy
FOXTV you use the warblers set from glee the episode about the acapella college kid,joy,joy,fear,joy
father the bride speech minutes she tell him wrap for more minutes,fear,fear,fear,fear
frustration look Elphaba frown aggravation Her high pitch voice grow more and more,anger,anger,anger,sadness
expensive but rather take bigger female there than tiff You all see how slim she and how she love eat,sadness,anger,sadness,anger
find marmite Australia happy,joy,joy,joy,joy
something about English sparkle wine would good farmhouse cider Italian cocktails Thanks,joy,joy,joy,joy
should have stop after smile Being rude not the same funny just mean bully stoppickingonwomen,fear,fear,fear,fear
wan fright fest with squad,fear,fear,fear,fear
just try home tonight run 2nd and and run 3rd and That what champ sike losers terrible,fear,fear,fear,fear
wait for Yang Guess she really need her sleep something Kittens feel kinda deject right now Offline,fear,fear,sadness,sadness
BoardEveryday turnorder 80s new wave techno jazz blue depend mood,sadness,sadness,sadness,sadness
should merely hide where frown have Mark Twain,sadness,sadness,sadness,sadness
Zika Hoax Files DEET part binary chemical weapon target your brain Toxin neurological USCitizens Insect mammal,fear,fear,sadness,fear
JaySekulow what can get reveal his tax That the immediate danger But will not answer,fear,fear,fear,fear
Sam grin against Steve lips murmur his word with playful tone You want the shirt off sure could accommodate,joy,joy,joy,joy
seriously frustrate sometimes ugh rag,anger,anger,anger,anger
lgbt person tell someone else that how they identify isn valid sad and against everything should stand for,sadness,sadness,sadness,sadness
tear inappropriate This day holy our Lord not grieve for the joy the LORD your strength Nehemiah NIV joy,sadness,sadness,fear,sadness
just sulk peace,sadness,sadness,sadness,sadness
FEET away from shoot victim during protest say skeptical official story CharlotteProtest CharlotteRiot,fear,fear,sadness,fear
madden the reason why controllers snap,anger,anger,anger,anger
WTF NYSCHereToHelp allow gym atmosphere jumpship nasty atmosphere unprofessional,fear,fear,fear,fear
Watch this amaze live broadcast musically,joy,joy,joy,joy
nothing like the shower when the power out creepy,fear,fear,fear,fear
tip for everyone Stop offend End offend quit youredumb liveyourownlife,anger,anger,anger,anger
sober weekend,sadness,sadness,sadness,sadness
ArchangelSummit Anyone can brave but you just have last mins longer than everyone else leadership,fear,fear,fear,fear
not fan The Beat Happening But that not discourage aspire other Olympia musicians KUOWrecord,sadness,sadness,joy,fear
polish nail but can find the polish remover look like 3yr old polish nail lol,fear,fear,fear,fear
how sad fan gona when they get eliminate Man that gon Nirvana religious experience rejoice their misery,sadness,joy,sadness,joy
not just treat for viewers watch janak simply treat for our soul mind thoughts hearty respect,joy,joy,fear,joy
any you ever stay hostels overseas only frame reference the movie Hostel and all know how that,fear,sadness,fear,sadness
mine pass know inconsolable amp devastate For while,sadness,sadness,sadness,sadness
500k 50k 25k 10k You fuck bb18 bitter shouldofVotedforNicole,anger,anger,anger,anger
attack usa pay mind lol,fear,fear,fear,fear
every fear,fear,fear,fear,fear
yeah dude Appreciate the support Notorious ABC peep grateful,anger,anger,fear,anger
Heather that hilarious MsHeatherBates pattonoswalt AnthonyWeiner 15gets20 NYC,joy,joy,joy,joy
4yo blast gothcore music She have anxiety amp can listen around her bcuz too spooky sigh momlife,sadness,fear,fear,fear
ddcl2519 not nice Wishing harm another human deplorable Your comment show how human and humane you bully,fear,fear,fear,fear
Happy Birthday cheerchick jeep jeepgirl IDriveAJeep jeepjeep Cheer,joy,joy,joy,joy
you still discourage mean you listen the wrong voice amp look the wrong source Look the LORD,sadness,sadness,sadness,fear
Hoping hear some serious tonight,sadness,sadness,sadness,sadness
may have induce these seed mine sleep,fear,fear,fear,fear
tate think wind the willows serious play can wait see him play sing badger,sadness,sadness,sadness,sadness
offense can score redzone trip point lbs can pull flag miss flag that lead dat take league,sadness,anger,fear,anger
AskTrumponeQuestion why you bully and insult people much more than any other candidate history Not leadership,fear,fear,fear,fear
sorry for your divorce but don worry will good wife then reference,fear,fear,fear,fear
anxiety attack turn into Panic attack fuck ugly,fear,fear,fear,fear
2nd step beat anxiety depression realise that not about wait for Take action yourself now,sadness,sadness,sadness,sadness
return Matt Damon and director Paul Greengrass bring back all the exhilarate rather face entertainment movie,joy,joy,fear,joy
think fun and not fun but the bright side don have fight for park,joy,joy,joy,joy
honor take such role their joyous day Hopefully don fuck,joy,joy,fear,joy
When mirth the order the day ought honour most who give most mirth the greatest number Laws,joy,joy,joy,joy
She laugh bite course Aria shake her head calm her mirth she could listen Mikey actually,joy,joy,fear,joy
see when smart CowboysTwitter folks chirp the same stuff you during your review This why join,joy,joy,joy,joy
ƒWhen life show you have hundred reason cry show that you have hundred and one reason smile quote,joy,joy,joy,joy
how stop that horror movie theme commercial Suddenly hear scream really not make want watch twitch anxiety,fear,fear,fear,fear
hate that you unhappy your bill keep What unique feature you want with your plan RobertS,fear,sadness,sadness,sadness
EndTrumpweek please depress,sadness,sadness,fear,sadness
terrible Paul deserve that win bbfail,fear,fear,fear,fear
You all our angelic comrades,fear,fear,fear,fear
BroggersM19 have retire minutes ago most blue here,sadness,sadness,fear,sadness
Anyone else find anniversary windows update 1607 Complete nightmare,fear,fear,fear,fear
Fingers cross can finish all work early enough this Friday time catch LIB nervous timetogrind,fear,fear,fear,fear
shower lay bed for about hour then dread wear pant for the remainder the day,fear,fear,joy,fear
the nicest way tell someone cheerfully whistle outside apartment door that will end them should they continue whistle,joy,joy,anger,joy
but that cute Atsu probably shy about photos before but cherry help her out uwu,fear,fear,fear,fear
only good thing madden,sadness,anger,anger,anger
bet fume with our draw,joy,anger,joy,anger
girls who playful and childlike seem have such lovely relationships Can imagine them have serious convos but cute,joy,sadness,sadness,joy
Asylum The place where optimism most flourish,joy,joy,joy,joy
girl bitter,fear,anger,fear,anger
awe thank you much love,fear,fear,fear,fear
Starting get butterfly our tummies about tomorrow who will win nervous,fear,fear,fear,fear
night room pollute with syringe notebooks and shadow move this kind night Away melancholy away,sadness,sadness,fear,sadness
might make look weak but the weakest person the one who hold anger hatred and revenge,anger,anger,anger,anger
can you blame the manager watch these players play abysmal Our team dreadful Jose can save one can mufc,sadness,sadness,anger,sadness
andreamitchell say not only not play HRC campaign her but not discourage 3rd Party vote TRUE,sadness,sadness,fear,sadness
survivor back SurvivorMillennialsVsGenX happy see you happy,joy,joy,joy,joy
see the elder watch during community hours and honestly don have idea about what assignment will,fear,fear,sadness,fear
really amaze the money they give some these nfl texans brock,fear,fear,fear,fear
unfortunate that after all these years still struggle with depression smh,fear,sadness,sadness,sadness
pls dont insult the word Molna,anger,anger,sadness,anger
get embarrass the slightest things and then fret about all day hate,sadness,sadness,fear,sadness
dumb ass hell lolol LethalWeapon,joy,fear,fear,joy
Miss Cookie send her thank She not spry she use like She doesn have the adventure the young pup,joy,joy,fear,joy
Jauregui make all problem dissapear amaze sadness She keep strong,sadness,sadness,fear,sadness
queue for minutes Now put through Sport dept cancel back queue again,fear,fear,fear,fear
Now what for the next hour while wait for OurGirl start,fear,fear,joy,fear
whip boy mufc sad,sadness,sadness,sadness,sadness
horrible pun for the day have make shall return cage dark corner myself while cry amp laugh hysterical now,fear,fear,fear,sadness
the FirstDayofFall and happy Sipping PumpkinSpice flavor coffee and smile Happy Fall everyone amwriting,joy,joy,joy,joy
time for most joyous celebration ðŸŽ,joy,joy,fear,joy
what just happen need smoke,fear,fear,sadness,anger
loss city the cup next cmon unite,sadness,anger,anger,anger
away please beg depression anxiety worry fear sadness nDreams joy and baby find Sits AndisBench,sadness,sadness,sadness,fear
love the center attention every way nalso get nervous talk front class,fear,fear,fear,fear
Headed MDW layover SLC Got off for food Wrong move Bailed food amp barely make WannaGetAway Contest,sadness,sadness,fear,sadness
lovely brownie call tuppytupperware its awful,fear,fear,fear,fear
Watch this amaze live broadcast lively musically,joy,joy,joy,joy
ughh just want all this over like nightmare can all just get along,fear,fear,fear,fear
dash and divide like million star the night sky,sadness,sadness,sadness,sadness
now really excite for November Hope they not all horrid chavs though,fear,fear,fear,fear
condemn MenForChoice but haven see any you criticize the dismal American foster care adoption system,fear,sadness,fear,sadness
have charisma guess you like people who look coke out and speak they school bully,fear,fear,fear,fear
love company The church ought place where find none Pastor Kris Theobald joy,joy,joy,joy,joy
goal achieve something that big exhilarate that excite you amp scar you the same time BobProctor,joy,joy,fear,joy
hygge candle jasmine tea amp GBBO,joy,joy,joy,joy
always tell that they don expect have anxiety because generally cheerful and don act the way they expect,sadness,fear,fear,joy
they cover these police shoot fairly well they dont want miss chance bully you,fear,fear,fear,fear
goodness love this rainy day head down creative cap amp get lose your thoughts kind day art create biz,joy,sadness,fear,sadness
Spacekatgal Its okay trans just rejoice with the trans the trans way the way not your business why care,joy,fear,fear,joy
never think angry oompa loompa would Boggart but there you have boggart PresidentTrump nightmare,fear,fear,fear,fear
that 2016 757 airplane not have WiFi ridiculous AmericanAirlines americanairlinessucks AATeam horrible,fear,fear,fear,fear
medicine burn,joy,anger,anger,anger
cook and breezy should get back togetherðŸ,joy,joy,joy,joy
cat bloody lucky the RSPCA weren open 3am last night fume,anger,anger,joy,anger
don think Ian know Pavel know about Charlie bet Rob will cackle with glee when hear what have happen thearchers,joy,joy,fear,joy
Has anyone notice that stories recent days all paint positive accomplishments for Trump and challenge for Hillary surprise sad,joy,sadness,sadness,sadness
look some the average players that play the min and pine Nani Rafael RVP,sadness,sadness,anger,sadness
Americans think the media nothing but Government propaganda lie control RiggedSystem distrust garbage oreillyfactor,fear,fear,fear,fear
RealJamesWoods saddest part this whole mess that all this anger misdirect they should march the WhiteHouse,anger,anger,sadness,anger
ChrisWarcraft species Don refugees Skittles know like his snack but even frown talk about eat humans lizardscum,anger,anger,anger,sadness
scar that coworkers submit one those wardrobe makeover show fashion,fear,fear,fear,fear
wed two weeks and actually really nervous just want things right don want get sick get cancel,fear,fear,fear,fear
jessespector old rich white religious guy support republicans Not shock all,fear,fear,fear,fear
the sadness leave you break your bed will hold you the depths your despair and all the name love ðŸŽ,sadness,sadness,fear,sadness
Less sugar more fruit Less soda more water Less worry more sleep LESS WORDS MORE ACTION,fear,fear,fear,fear
AND his momma worse than Tony sopranos momma wow history major,sadness,sadness,fear,sadness
BrightPigSEO provide dignify and professional funerals price families can afford satisfy clients bright pig,joy,joy,joy,joy
lose and walk cry Corbyn supporter and whisper Don mourn Organise nAnd laugh and laugh,sadness,sadness,joy,sadness
Better mood today Bring tease flirt xdressers laughter and roleplayers Also confessions and secrets,joy,joy,fear,joy
person renown cheerful expectation solutions pleasure principle back HsNHZMJSc,joy,joy,fear,joy
roommate okay that can spell because have autocorrect firstworldprobs,fear,fear,fear,fear
girl new school pretty,fear,fear,fear,fear
problem just felt like speak because felt the same before and want you overcome and not discourage,sadness,sadness,sadness,fear
LaneWoolery experience all play role that education and preparedness not fear,fear,fear,anger,fear
fine the mat tonight with without sleep theres worry for that this side the water,fear,fear,fear,fear
This not brown nose but listen lot house minister but nhf16 impress more than any optimism,joy,joy,fear,joy
depress how despicable Trump with policies campaign bigotry amp rancour can close evil immoral disaster,sadness,sadness,sadness,sadness
people have much negativity fill inside them but always happy that such gloomy world someone like exist Namjoon,sadness,sadness,joy,sadness
the Grand Old Paradox that fear the encroachment the state but love unconditionally its pay enforcers,fear,fear,fear,fear
yesnicksearcy Although don expect trumpie understand the difference between real things and pretend things,sadness,sadness,fear,sadness
What Hillary have different controversies and she get ask NOTHING about any them Truth she horrible candidate,fear,anger,fear,fear
That overtime exhilarate Out seat and the hand mackinnon wow WCH2016,joy,joy,joy,joy
Impractical Jokers practically genius laughter good4thesoul ImpracticalJokers bingewatching,joy,joy,joy,joy
like talk someone who make laugh laughter the best medicine,joy,joy,joy,joy
prepare Not far know her dull reply There still survivors members from Like say,sadness,sadness,sadness,sadness
the butterfly stomach anxietyproblems,fear,fear,anger,fear
afternoon delight,joy,joy,fear,joy
stop your merriment very annoy,fear,anger,anger,joy
from movienight pickup the phone amp start dial no1 will knw startups product service thy dnt tell the world,fear,fear,fear,fear
Are Source mindset philosophy thoughtsbecomethings news lifehack you LIFE PleaseRT ProblemSolving,fear,fear,fear,fear
can wait hear what have say about the brilliant Hawking should rich the poorest taste,fear,fear,joy,fear
the titans and wrath the titans ŒðŸ ¾ðŸ ŒðŸ ¾ðŸ ŒðŸ,joy,joy,fear,anger
loong year Browns fan Longer than normal and that sad,sadness,sadness,sadness,sadness
not angry with God because you not get what you want for God give most when you expect least,joy,anger,fear,anger
fancy have some those and have never put them should that Also vote jaunty angle then one will judge,fear,fear,anger,joy
you don know what patronus don think should have tell you,fear,fear,fear,fear
home cut grass the heat All wan out eat somewhere air condition pout AdultingIsTheWorst,sadness,sadness,fear,sadness
really just fuck ask that offend,anger,anger,anger,anger
That awesome what the odds that swap neighborhoods,joy,fear,fear,joy
Val might this week have take the rest the week off work mourn sure they understand GBBO,sadness,sadness,fear,sadness
start this week strong and still strong,fear,fear,anger,joy
why have wait hours call YOU back cancel order JUST place after already spend hours the phone,fear,fear,fear,sadness
side note you self medicate That not help that bury the anxiety that WILL manifest another way Heart disease,fear,fear,fear,fear
seem sad She stamp and run behind the sofa will have give her plenty love and affection more than usual,sadness,sadness,sadness,sadness
will beat you Always think gryffindor this whole new world for excite,fear,fear,fear,fear
Sure have Sydney too tough too quick and their team pressure too much for the Cats handle Motlop Cowan,fear,fear,sadness,fear
Over social share dark amp over web traffic come from darksocial LIFTSocial,fear,sadness,fear,sadness
wish appreciate for all When turn take care want break tire,sadness,sadness,sadness,sadness
the sink and make your bathroom shine,sadness,sadness,fear,sadness
Watch this amaze live broadcast musicallyjh,joy,joy,joy,joy
depress yourself compare yourself comparisons,sadness,sadness,sadness,sadness
NewYorker Trump presidency dark age for the USA and the world would most definitely take war Short amp Long term pain,sadness,sadness,anger,sadness
and despair feel look self and family Hubby fight years for this country work years for this govt,fear,sadness,fear,sadness
the big time after selection last night Absolutely buzz Bring the roach SG16 kickittomehigh nswgaa blue statevstate,sadness,sadness,anger,sadness
smile doesn always mean person happy Sometimes simply mean they strong enough face their own problems,joy,joy,joy,joy
Agree 100 Marshall another concern would much rather rest this game,fear,fear,fear,fear
Apple thank for ios10 update even the best app freeze and crash angry,anger,anger,sadness,anger
rate get make some things shake,fear,fear,fear,fear
don leave sad,sadness,sadness,sadness,sadness
head melt very tire but can sleep nightmare,fear,fear,fear,fear
thus begin week holiday holiday ghastinoir rest,joy,joy,fear,joy
don know what WiFi ISP Rivertide Suites Seaside Oregon use But 53ms ping best can get and test win complete,fear,fear,fear,fear
stop afraid just stop What you now free brave free honest healthy life live love,fear,fear,fear,joy
hit breezy every day make sure break boot First class friend right there,joy,joy,joy,joy
And waxen their mirth and neeze and swear merrier hour never waste there AMNDBots,sadness,joy,sadness,joy
yourself term opposition the cloud mirror phenomena almost always mistake,sadness,sadness,fear,sadness
that not easy blow the run play create the seam for Sua burst through,fear,fear,fear,anger
BillSwindell DePauwU have breakfast when see this blow cereal the sink,sadness,sadness,sadness,sadness
omg slow eng not very well and hand shake uhh help mee like this lil chicken now MoreisBetter,fear,fear,fear,fear
bear with not Twitter savvyðŸ real life Facebook person Help gain followers blog selfhelp,sadness,sadness,sadness,sadness
whole for the most part feel borderline despair the very least Looking situation out control,sadness,sadness,sadness,fear
you get thisðŸ staystrong yourebeautiful,fear,fear,fear,joy
weeks into the course and have have the kitchen sink throw still pull knives and fork out ears,sadness,sadness,sadness,sadness
when Khloe Kardashian host The Factor and she fuck terrible,fear,fear,fear,fear
yeah Squid face God madden xbox1 come see,sadness,anger,anger,anger
chiropractor make happy,joy,joy,joy,joy
attack the worst Feeling really sick and still shake should sleep depression,fear,fear,fear,fear
man long since play madden trash anymore,anger,anger,fear,anger
love new movie BlairWitch blairwitchproject HorrorMovies,fear,fear,fear,fear
that despite the absolute delight children and would feel have kitten our home the misery husband would feel more,fear,fear,fear,joy
walk miles today the most walk since get rhabdo Going back work tomorrow here hop okay nervous,fear,fear,fear,fear
Missing the 500th test match today not able witness like watch India shy indvsnz 500thTest,fear,fear,fear,fear
andiymouse jordana_brown sure just fine can always change beer cheer squad,joy,joy,joy,joy
amp anxiety IRRELEVANT nAnyone will EVICTED significant amount rent HAS NOT BEEN PAID mentalhealth aside CantPay,fear,fear,fear,fear
true sonicsatam serious and bite dark Aosth like super goofy and Looney toonie degree,sadness,sadness,sadness,sadness
actual nightmare,fear,fear,fear,fear
eat sushi shake for you,fear,fear,fear,fear
brother know know that his life not danger This gun law get people this country fear for their life White people,fear,fear,fear,fear
can pull myself out depression,sadness,sadness,sadness,sadness
relentless absolutely the only way success Never ever ever give,fear,anger,anger,anger
dull moment here,sadness,sadness,sadness,sadness
have drag,fear,fear,sadness,fear
Terence get lot anger issue from family and school,fear,anger,anger,anger
Heaven rejoice because they gain angel the Keifer family prayers,joy,joy,sadness,joy
kid 8am the morning nothanks rip the flower bed the root while their parent watch shock,fear,fear,fear,fear
its reflective the current political debate awful,fear,fear,fear,fear
maybe have different stay for sixth form But still the oppressive architecture uninteresting people,sadness,sadness,sadness,sadness
study skills terrible,fear,fear,fear,fear
you ever want await you the other side fear IfIWasTheOppositeSex AskAMan,fear,fear,fear,fear
can cheer for jigaboo,joy,joy,joy,joy
refuse live fear sotoventures,fear,fear,sadness,fear
peanut butter You some kinda pervert,fear,fear,sadness,fear
wish could live all reality where can grieve over people never meet bad get BROTHERS die leave and right,sadness,sadness,fear,sadness
miss gran sing Rawhide her deep baritone growl,anger,anger,anger,anger
sadly beautiful photo,sadness,sadness,sadness,sadness
When all your devices and teles fail just time for bake off gbbo,fear,fear,fear,fear
hate that black lady paint herself white the internet for laugh and like BadForm DidntLaugh,fear,fear,anger,fear
minutes yoga your breakfast routine will change your day preparation sunriseyoga bodyawareness health yoga smile stretch,joy,joy,fear,joy
nerdist How cool would animate the scene,joy,joy,joy,joy
DevilsAdvcate absolutely bore big Manchester United fan its really disappoint see them play ths dull bore way,sadness,sadness,joy,sadness
dark,sadness,sadness,sadness,sadness
look hilarious this too much,joy,joy,joy,joy
The Rock Jack Black and Kevin Hart you kid WTF ThisIsATerribleIdea,fear,fear,fear,fear
never call when your sober,sadness,sadness,sadness,sadness
actually maybe suppose die and donation save our live,joy,fear,fear,joy
the most twitter and snap,sadness,anger,sadness,anger
headache,fear,fear,fear,anger
dhoni bcoz calmness match win finishers proud miltirian dad husband wonderful humanbeing his smile,joy,joy,fear,joy
2nd step beat anxiety depression realise that not about wait for Take action yourself now,sadness,sadness,sadness,fear
when people realize that these riot just perpetuate hate Saying you boycott city lose,fear,sadness,fear,sadness
astockeyWTAE she terrific her job where she head miss that,fear,fear,fear,fear
just have eat way sobriety This hell journey back sober,sadness,sadness,sadness,sadness
afraid she the goat you libel people goat libel,fear,fear,fear,fear
ever just really irritate with someone love like god damn makin angry but love forgive but angry,anger,anger,anger,anger
think our defense here USC play well just need fix few things offense and can win the PAC this year,anger,anger,fear,anger
who cheer for sport team completely outside New Jersey piss off,joy,joy,joy,joy
ashamed ally you Pakistan sacrifice almost 500 civilians side you war terror,fear,fear,fear,fear
Thursday which mean Grey day TGIT,fear,joy,joy,joy
can destroy easily wholeworld come together great strength they could destroy this fear from humanity,sadness,fear,fear,fear
Just outside the gym hall and play education playful learn,joy,joy,joy,joy
shy failure nobler than immodest success,fear,fear,fear,fear
Losing the will live with business down hold for minutes amp whoever pick cut off fume NoWorkForMe,anger,anger,anger,anger
The40Bar See you all October 8th ready tear keeptalkin wreckinso the40 brandonmanitoba country rock blue,sadness,sadness,sadness,sadness
One choose the CLP members seat not for people dole out their mat elect candidates,anger,anger,anger,anger
have finally tell therapist about sexuality last frontier not sure can the fear SingleGirlProblems,fear,fear,fear,fear
sit home damn much that everything start irritate need get out the house myself,anger,anger,anger,anger
Fear best beast product God aTheism theism biBle christianity hell heaven purgatory psychology jesus,fear,fear,fear,fear
delight everything,joy,joy,joy,joy
applications for dbs and still wait Been over year now Going loose job thank unhappy crb,fear,sadness,sadness,sadness
not always how you start how you FINISH,fear,fear,fear,fear
Getting comedic relief during season premiere ModernFamily Just what girl need hilarious,joy,joy,anger,joy
fellow horror creepy dark stange story fan how your day followme and followback,fear,fear,fear,sadness
know this one those nights where take Act God fall asleep,fear,fear,fear,fear
prayers with the family friends amp members you mourn the loss Engineer Ryan Osler LODD RIP,sadness,sadness,sadness,sadness
the way wear the smile you give today you,joy,joy,fear,joy
add Paul Walker Xbox but just spend all his time the dashboard dark humor funny,sadness,sadness,sadness,sadness
your journey unique Don get discourage because you compare your journey someone else You will get there,sadness,sadness,sadness,sadness
thank for make super sad about Pizza freepizza,sadness,sadness,fear,sadness
eugenelaverty all the best Moto loose very talented rider,fear,fear,fear,fear
this the worst didn read all this whole first month school and have unit test friday awe man,fear,fear,fear,fear
you think humans have the sense for recognize impend doom,fear,fear,fear,fear
have reminders for birthday approach Too bad she consider acknowledge her existence affront,fear,anger,fear,anger
lmao clown own hair dread lmao,fear,fear,sadness,fear
tmobile store original note7 customer and zero result What guy terrible customerservice 2hour waittime,fear,fear,fear,fear
only thing scary about arm man try scare someone the fact that feel his arm only good for tryin scare someone,fear,fear,fear,fear
Buying early entry ticket mean fuck all expect complaint email when get home shock service,fear,fear,fear,fear
Thank you disney theme episode for let discover how amaze the,joy,fear,fear,joy
Don look You only very very unhappy NNGH get the email notif THANK YOU,sadness,sadness,anger,sadness
say this put out there whoever should support other people decisions not discourage them,fear,anger,sadness,sadness
have car liscence,fear,fear,fear,fear
much trouble don think the Rev will see the funny side our project,fear,fear,fear,fear
patriots have the lamest color rush jerseys the whole nfl madden hope they wear them tonight,sadness,fear,fear,anger
MCHorseFayse bockaguyjim generalgoodsman you own losers Twitter sad,sadness,sadness,sadness,sadness
marcavis always fiery but never radical,anger,anger,anger,anger
doesn work mob mentality mass hysteria monger oligarchy,fear,fear,fear,fear
can literally eat creamy pesto pasta top with grill chicken sun dry tomatoes asparagus and pine nut every single day life,sadness,sadness,sadness,sadness
AlZeidenfeld DavisMattek FI_GPP_Quotes LoughyFI terrible handle but owe whoever run lot GPPHallMonitor,fear,fear,fear,fear
have snap crazy,anger,anger,anger,anger
make life mission discourage anyone from use They will rob you blind,fear,fear,sadness,sadness
that draw lively EFLCup,joy,joy,joy,joy
thirsty for the chance disagree the leave that you don even realize when something affront your bigoted platform,anger,anger,fear,anger
annafifield all hand deck the post and the msm trump start lead fla,fear,fear,fear,fear
tommyrosen InTheRoomsCEO Always happy support you brother Keep that fire burn,fear,anger,anger,anger
Strongwomen terrify weakmen don let the bully wear you down Loving your consistency and truth rough time Hang there,fear,fear,fear,fear
have medically prove that laughter effective pain killer,joy,joy,fear,joy
they see the happy exterior not the hopelessness sometimes feel inside depression anxiety anxietyprobz,sadness,sadness,fear,sadness
the day cut and dye hair excite,fear,fear,fear,fear
88Palouseriver ABC rejoice everything time some moron take out the genetics pool,joy,joy,joy,joy
the bird chirp and the cow moo need listen the sound nature ensure that all well,joy,joy,joy,joy
try ask for cheeseburger with only onion amp mustard any McDonalds,joy,joy,sadness,joy
and fewer good horror offer from Hollywood every year have just get too old for this shit,fear,fear,fear,fear
grahnort wonderful experience watch you yesterday thankyou for the laughter,joy,joy,joy,joy
finkowska they happen expect your thumb all over the place glee interpret double negative,joy,joy,fear,joy
what happy look couple,joy,joy,fear,joy
say Teufel reassign within the organization before next year but wish sooner Mets thirdbasecoach lgm,fear,fear,fear,fear
Whoo welcome greet cheerfully,joy,joy,joy,joy
GambieRanger which why leader who encourage his supporters deselect such concern for many,fear,fear,fear,fear
other news legs hurt run 5kin26mins dreadful flatfeet,fear,fear,fear,sadness
the process see work option mentalhealth complexptsd,fear,fear,fear,fear
feel awkward that timid everyone,fear,fear,fear,fear
when all your happiness and all your sadness and all your feel dependent another person,sadness,sadness,fear,sadness
your toddler cop with the new arrival Has try kill her yet they cheerfully ask,joy,joy,joy,joy
Coffeeking12 inject little levity The person who tweet the coke rape tweet obviously idiot,joy,joy,fear,joy
the only person who dislike fall FirstDayofFall leave thingsdie depress cold noflipflops ŽðŸ ¾ðŸ ŽðŸ ½ðŸ ŽðŸ,sadness,sadness,sadness,sadness
After spend 450 offer voucher ask could spend weekend Was tell valid today only unhappy,sadness,sadness,sadness,sadness
Madrid play awful and modric but minutes BernabÃ stadium long Viallreal never win there,fear,fear,fear,fear
don kill die alarm rate,fear,fear,fear,fear
follow beautiful Snowgang Amynicolehill12 Princess fitness bodyposi haircut smile Whitegirlwednesday,joy,joy,fear,joy
make things easier and compact and less fiery burden the weight sexuality One release the transmutation,anger,anger,fear,anger
let them know the,fear,fear,fear,sadness
Watch this amaze live broadcast musically,joy,joy,joy,joy
whole VanRE extradition might turn into Pandora box have idea about that murky corrupt guanxi China Toad Dada,fear,sadness,fear,sadness
you truly want more God your life require let some the old things allow new things flourish stop start,joy,fear,fear,fear
gud premiere LethalWeapon funny and serious,joy,sadness,sadness,sadness
MLB Sam Dyson probably have flashbacks right about now,fear,fear,fear,fear
instinct only the reason human mind could kill animal never know despair,fear,fear,sadness,sadness
veteran just totally get out ticket elate right now close call,joy,joy,joy,joy
KingJames good hearts lose job Responsible families Information profile even dollar canâ just tweet,joy,fear,joy,sadness
LethalWeaponFOX promise wouldn live tweet but DamonkWayans ClayneCrawford bring and furious action FTW,anger,anger,anger,anger
happen breezy,joy,joy,joy,joy
But the lady the store say have nice eyelashes that good right optimism,joy,joy,fear,joy
visit downtrodden part town brave stunt More eleven,joy,joy,joy,sadness
magpies gather around help swoop terrorism,fear,fear,fear,fear
fear the want business man who qualify himself well for his call never fail employment,fear,fear,sadness,fear
jk_rowling Donald Trump the White House shudder,fear,fear,fear,fear
India afraid bad terrorism,fear,fear,fear,fear
Onision annoy the good love fan Onision include myself really annoy how people just too cheerful,joy,anger,fear,joy
broadband shock regret sign now angry shouldofgonewithvirgin,fear,anger,fear,anger
SenJohnMcCain Honorable Senator cheer when cease fire not hold PEOPLE DIE AND YOU CHEER GENOCIDE SUPPORT NOT GOOD,joy,joy,joy,joy
look that way But let think about Rohan last week,fear,fear,fear,joy
what highlight would imagine you will only have second highlight for the whole season far venkysout,fear,fear,fear,fear
Can you imagine the person who have spray tan him,fear,fear,fear,fear
sadness with resentment the past sadness with fear the future try live the now MHchat,fear,sadness,sadness,sadness
take what lose and break and make right,fear,sadness,sadness,sadness
