Content,Emotion_predicted,Emotion_actual
in a danish What horror what depths gbbo,fear,fear
do we think the swallow and swifts have go Photo d 3 nights ago not see since Autumn,sadness,sadness
ðŸ cailamarsai you ve have me ðŸ ðŸ the whole time watch black_ishABC after you ve lose your glass It be hilarious,sadness,joy
radio just tell me Lady GaGa be go country which be like if the Beatles decide to do opera sing for their final albums,fear,fear
past midnight loud bang on our front door be tell about new rape case in Edinburgh today nosleep,fear,joy
passenger in car next to u cheerfully ask for a cigarette and then directions,joy,joy
mourn the creativity lose,sadness,sadness
simondawkins23 click the wrong side be fume ðŸ,anger,anger
can be so shy but once I come out of my shell that s it ðŸ,fear,fear
want bad service use frontier they have terrible service Go to AT amp T anybody be better I be go to complain to better business,fear,fear
Come to the BullSkitComedy FUNdraiser this Fri at 8pm Because pie face,joy,joy
Chic_Happens_ Sean_Okeeffe1 I dread the comparisons to Queen MÃ xima Guarantee I will lose followers when that happen,sadness,fear
jovial laughter that Trump and his lackeys show when Don King use the N word be a truly bizarre sight,joy,joy
Look at those teef,fear,anger
be sleepy but the mind be active So sad Have to get ready for work in 30 minutes Damn,fear,fear
cold dark nights be slowly creep in ðŸŒŒ,sadness,sadness
get soo nervous when an actually attractive guy try to talk to me in person Like 9 10 I turn him down just from habit ðŸ,fear,fear
girl at my new school be so pretty i be intimidate,fear,fear
cheer up,joy,joy
live and die for mchanzo honeymoon crash and burn the second they move in together,anger,anger
I be pick up stick and pine con in my front yard,sadness,sadness
Flight 815 crash on The Lost Island 2004 lose,sadness,sadness
An kind of drive home from work today nightmare dailyfeels,fear,fear
Theresa_Talbot Haha sorry about the dreadful pun I need to get out more I ve be cooped up lately,fear,fear
2008 crisis be just the tremor In advance of the earthquake,joy,fear
Gibberman10 any of y all remember when MLB try a futuristic jersey those be all terrible,fear,fear
away please I m beg Â Â Â depression anxiety worry fear sadness nDreams of joy and my baby to be find Sits on AndisBench,fear,sadness
I want him drop a while ago Its a concern for us no doubt,fear,fear
such a shy girlðŸ,fear,fear
like India be finally take Pakistan n it s terrorism to task uriattacks,fear,fear
bully,fear,fear
need to get a new job The constant gloom of my current one be get a bite ridiculous now,sadness,sadness
BBCTomEnglish And the dreadful Franglaise,sadness,fear
in love with insta,joy,joy
how to use twitter lose,sadness,sadness
I get the most playful ass bf ever ðŸ ðŸ,joy,joy
Can t believe be put their price up They already know I m struggle to pay my bill amp win t change my package,fear,anger
sadly David D be no longer with us imagine both together wow,sadness,sadness
I answer a call from a college rep who didn t realize I do and I get to hear part of his lively debate about if evolution be real,joy,joy
glee glee glee glee gLEE GLEE i LOST LOST LOST lowe much,joy,joy
like there be a right way to pray there be a right way to give not grudgingly or of necessity but cheerfully woficc,joy,joy
track back you fuck potato face cunt err infuriate ðŸ ðŸ ðŸ ðŸ ðŸ angry Rooney mufc,anger,anger
â make him feel vigorous Fine You can kill me now Said Hestia with a display of only despair rather than her joyful â,sadness,fear
great programme tonight sad upset extremeworld,sadness,sadness
oh ok yeah I felt dumb like I think I would have know if it be animate at least lmao,joy,joy
Ha mquirk Got your book after our meet at the Starbucks in NOLA If Josh say it s terrific I m all in,fear,fear
defend be awful from us,fear,fear
end of how I meet your mother be dreadful,fear,sadness
just get murder in madden ðŸ,anger,anger
minutes of yoga to your breakfast routine will change your day preparation sunriseyoga bodyawareness health yoga stretch,joy,joy
Happy 69th May u keep haunt us for many years horror write,fear,fear
now get ban but will still lurk in corner and underneath the bed and sofa much to Eyepatch s delight Why be she,joy,joy
look that way But let s think about Rohan last week,fear,joy
bubble imply it will burst,anger,anger
rsdeepsea If 3 people be in a country of 300 million you be go to RUIN the whole country over 3 people,fear,fear
wwcummings this individual be clearly try 2 intimidate this LEO I see an issue here STOP CAUSING ISSUES by push limit,fear,fear
how about say something like if you re concern about privacy use it only in incognito mode alarmist,fear,fear
an uncertainty Halsey tease her lips curve into a jovial smirk,joy,joy
be the scariest American Horror Story out of all of them I m gon na have to watch in the daytime,fear,fear
I swear I will not go mourn becauseðŸ ðŸ ðŸ ðŸ,sadness,sadness
tfw you re en route to your future i m come for ya openhouse futurecantor exhilarate NYCletsgo,joy,joy
fence but i want a harley quinn or blake lively layout,joy,joy
recovery health love God conscious drive hope perseverance wealthy home kid SoCal recoveryfit youthful sober,sadness,sadness
have learn over the years that when one s mind be make up this diminish fear â Rosa Parks quote motivation,fear,fear
terrorism from an anti racism POV be futile instead promote prejudice towards racism That way we be all on the battlefield,fear,fear
Huh Perhaps Because we re both so dreary we get along well,sadness,sadness
If you get it go with him tag me the link please I have a lot of friends who love follow his unintentional hilarity,joy,joy
U get to b kid me Anu from your firm respond when I send the contact detail terrible customerexperience,fear,fear
Update I have yet to hang out with but I m still hopeful,fear,joy
don t know how to love me when you re sober sober selenagomez revival,sadness,sadness
If they say the word radical Islamic terrorist will that somehow make the terror group drop their weapons,fear,fear
Getting my comedic relief w during season premiere of ModernFamily Just what a girl need,fear,joy
blue blue ðŸ,sadness,sadness
just wake up frm a fuck nightmare,fear,fear
Watch this amaze live ly broadcast by lively musically,joy,joy
i m elate thank you for your help can i apply to be verify,joy,joy
hate freak out and ruin things,fear,fear
I get to see her last when she be lively and talkative and I be able to tell her I love her so that s what matter,joy,joy
Same it s good but not great Don t Breathe be the horror film of the month for me My Fav horror film of the year so far,fear,fear
I try not to let my anger seep into review but I resent have my time waste on book like that Time be precious,anger,anger
don t care what shape the blue be in nWe owe them a fuck hide nLong overdue on that front,sadness,sadness
Today s alarm show how unprepared professors and students be when it come to emergency protocols We don t know where to go,fear,fear
35 Do you hold a grudge against your ex,anger,anger
Don t let the behavior of others destroy ur inner peace Dalai Lama heal depression anxiety intuition meditation book,fear,fear
know this be go to be one of those nights where it take an Act of God to fall asleep,fear,fear
I do that 3 days later my order isn t even in the same postcode as me,fear,anger
Be happy not because everything be good but because you can see the good side of everything,joy,joy
it would be great but what if the card crash ðŸ It s happen to me twice nightmare,fear,fear
mix it up pretty well use that slider pretty affective so far thebabybombers yankees offense,anger,anger
non permissive environment be also call a battleground MilSpeak,anger,joy
would appear it s a good year for the blue,sadness,sadness
im all alone and my joy s turn to mop,sadness,sadness
ibishotelsuk ibisHotels_FR ibishotelbr ibishotel ibishotelBDG to give me my key back They aren t for my house,fear,fear
One choose by the CLP members MP seat be not for people to dole out to their mat we elect candidates fume,anger,anger
now im feel the,fear,fear
priorJoan nActually pretty typical of trump supporters nThis kid learn birtherism in school nThat s horrific,fear,fear
satisfy us early with thy mercy that we may rejoice amp be glad all our days Ps 90 14 gladness joy,joy,joy
I think just becz u have so much terror in pak nd urself be a leader u forget d difference btw a leader nd terrorist,fear,fear
my ass be no longer an insult,anger,anger
Welcome to the dark honey,sadness,sadness
don t be shy next time We re a cheery bunch n nSam X,fear,joy
page script due Friday for class Who say I could do this MFA thing panic GradSchoolProblems someonetelltinafeytohireme,fear,fear
of restoration to the nation of israel everywhere you look bless barns wine overflow Everything beautiful do_u_see,joy,joy
3 of penny dreadful be on Netflix well my afternoon be fill,fear,sadness
this really suck how much your customer service suck I ve be hang up on three time and this be absolutely horrible,fear,fear
be boil,anger,anger
be cheer for NA team Now I just want this be over and Gaudreau come back in one piece It be get way too risky,joy,joy
they see the happy exterior not the hopelessness I sometimes feel inside depression anxiety anxietyprobz,sadness,fear
come run back to me say how much you miss me then cower away when we acc try a friendship ðŸ ðŸ ¼,fear,fear
any of you ever stay in hostels overseas My only frame of reference be the movie Hostel and we all know how that go,sadness,sadness
nice why be u fume then ðŸ,anger,anger
penny dreadful season 3,fear,sadness
majority of my clients have family partner day job life AND write their beautiful book gratitude HARDwork,fear,fear
kylemuir17 Ealvarezfight danawhite he ll defend his belt against aldo after its not that hard u grudge hold bitch,anger,anger
really wan na go fright night at Thorpe Park next month ðŸ,fear,fear
this be cheery MrRobot,joy,joy
cheer upâ ºï,joy,joy
die from laughter after see thatðŸ ðŸ ðŸ ðŸ,joy,joy
can t stop racism overnight Nor gun violence Nor terrorism But we CAN literally stop Trump overnight So like let s ImWithHer,fear,fear
Isn t the whole it s be hijack argument the same argument use to ban or discourage the display of the St George s Cross Shame,sadness,sadness
at me Made it through the day without a meltdown anxiety,fear,fear
now yeah I m home again nStill feel mix up inside amp kinda gloomy But a little more optimistic that I ll figure this out,sadness,sadness
i m kinda sad i hope i can shake this before school,sadness,fear
multiple comb simultaneously be what I like to call impressive work O ohsnap daamn,fear,anger
vote for killary be like stick a knife in a toaster MakeAmericaGreatAgain,fear,fear
sit at home so damn much that everything be start to irritate me I need to get out the house by myself,anger,anger
say Teufel be reassign within the organization before next year but I wish it be sooner Mets thirdbasecoach terrible lgm,fear,fear
AWH tiff you re such a great friend I love you thank you,joy,anger
Brown s Law Never offend people with style when you can fake that you have to break us in this Island,anger,anger
yeah Squid face God madden 17 xbox1 come see me,anger,anger
I think it s the daunt fact of the typical offer be those grade Even though it s be prove not to be the case exactly,fear,fear
for the things we do can be temper by time it be regret for the things we do not do that be inconsolable Sydney J Harris,sadness,sadness
Texans be scar of this bunch,fear,fear
thank Ryan amp Brad for scary the shit out of us in the first episode Don t think my heart will make it through the s6,fear,fear
be world of tank creats rubberbath sting weeks of,anger,anger
see the elder watch me during my community hours and i honestly don t have an idea about what my assignment will be apprehensive,fear,fear
emotions sadness anxietymaybe missingfriends growingupsucks lostfriends wheresthetruefriends complications,sadness,sadness
switch up stay down this the same person since day one,sadness,sadness
cheer up chuckðŸ,joy,joy
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18 BB18 sorry not sorry bbmichelle,anger,anger
Quote_Soup Be happy not because everything be good but because you can see the good side of everything,joy,joy
there be no room for joke in hockey This be a serious business where we make up team to fill out the tournament,sadness,anger
be a down payment on a problem you may never have Â Joyce Meyer motivation leadership worry,fear,fear
Thank you 4 give me a free coffee for bring my reusable cup to the airport because it be 1st time you saw one But depress,sadness,sadness
your smile to change the world Don t let the world change your smile quote actorslife smile love hardworkpaysoff fun,joy,joy
glee fill Normy dry hump of the most recent high profile celebrity break up be pathetic amp all that be wrong with the world today,sadness,joy
ive go roght in the huff Deleted the episode out of anger n everything regret it now,anger,anger
have serious problems with the expectation that private philanthropy should replace functional government service this be dangerous,sadness,sadness
Luckii I m change in so many ways bc of Him It s a scary but joyful feel make me so strong,joy,joy
I actually think she be go to jump bully SouthPark20 southpark,fear,fear
I have a panic attack when I couldn t find on Twitter Turns out my Twitter be a jerk I can still see her NyssaAlghul panic,fear,fear
Start w the 3 songs in Blue Neighborhood n1 Wild n2 Fools n3 Talk Me down ðŸ ðŸ for Wesper nAlso n4 Too Good serious kaz inej feelz,sadness,sadness
i would just get some decent referee shock,fear,fear
RobRiggle joelmchale I still can t get jimmy garoppolo out of my head and it s be almost 3 weeks Thanks a lot,fear,joy
ezlabor web portal have to be THE SLOWEST web app I have ever have the displeasure of use,fear,anger
I don t like the statement but I love the optimism,joy,joy
kind of confuse The one thing i do right now have a great future but on the other hand so do the new thing needhelp,sadness,sadness
tweetingacct amandacarpenter the pledge would have never have to be make if petulant child POStrump didn t threaten to run,fear,fear
be far away because time be short no rest for the weary,sadness,sadness
I start post photos,fear,fear
even when we re fight I m laugh I probably have serious ingrain issuesðŸ ðŸ,sadness,sadness
will be no game video today An old friend of mine pass last night so I m take some time to grieve Thank you StandUpToCancer,fear,sadness
how to cook be invaluable what s even better be that even in a 400 sq ft place I have wide and hearty homestyle egg noodles,joy,joy
be the principle victims of terrorism More Muslims be die at the hand of these terrorists than anyone else YounusAlGohar,fear,fear
hangover all day Stood up to do dish and now I m exhaust again GAD depression amp chronic pain anxiety depression pain,sadness,fear
jeezus God,fear,sadness
over fear and rely on faith,fear,fear
shwood OMD you 2 be crack me up Thanks for the follow Brian I need some levity to balance the cynicism I share w MichaelðŸ,joy,joy
2 of the thread and i thing he doesn t like me like that idk he s so shy and secretive ugh,fear,fear
also your car hahahah oh we ve break down lem me just rearrange the car quickly nightmare,fear,fear
jodikantor only if YOU will pay for them and YOU will be responsible for them and their do sober real blind,sadness,sadness
girl be,fear,anger
be the foundational key to all success Pablo Picasso inspire quote action hustle start dosomething success,fear,fear
thank for play Crock Pot Going radio blog blue music indiemusic,sadness,sadness
be it so windy So glad I didn t ride my bike fear wind,fear,fear
throughout that entire thing I be shake rlly bad and my heart be race and I be almost in tear lmao thank mr,fear,fear
annafifield all hand on deck at the post and in the msm as trump start to lead in oh fla NC NV CO panic,fear,fear
rappers who stay true to the game be rich,sadness,sadness
umbrage because Jimmy Carr claim that Bilbo Baggins go to Mordor on 8 out of 10 cat do Countdown Know your Baggins mate,anger,anger
DonKing lion of black community speak truth to power of insult black vote be give away cavalierly play by TheDemocrats,anger,anger
politicalTigres welcome ji sorry for word that irritate u,anger,anger
I could turn anxiety off I would nooneunderstands anxiety,fear,fear
get one hour of sleep Today be go to be a fun day ðŸ restless,fear,fear
carrick and Herrera prove their worth last night What more do Rooney need to do to get drop awful Rashford need to start,fear,fear
a very tire body and mind and sparkle teeth I say to all my followers good night and if there be an apocalypse good luck aspie,joy,joy
be just make me mad ðŸ icq angry,anger,anger
more of a hearty Italian man myself,joy,joy
be the scariest American Horror Story out of all of them I m gon na have to watch in the daytime frighten,fear,fear
Whaat Oh hell no I be jealous because you get pay to fuck but this be a whole new level love conflictedðŸ,anger,anger
make me breathless,joy,fear
sad moment when u hand in an exam know u fail and grieve by eat and sleep,sadness,sadness
jonnyp_43 like go to a so call cardiac arrest that turn out to be a cut finger fume medchat,anger,anger
I could turn anxiety off I would nooneunderstands,fear,fear
today I just felt like maybe track isn t for me,fear,sadness
why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST place after already spend 2 hours on the phone,fear,sadness
there be some awful people on the internet smh,fear,fear
God know why things happen sometimes it s just hard to understand prayingforyou,fear,sadness
so serious about put word in my mouth bitch don t add the to my sentence if I didn t say that shit on blood,sadness,sadness
shower to lay in bed for about an hour then dread wear pant for the remainder of the day,sadness,fear
let me see you frown,sadness,anger
ðŸ nHeart so pure and smile nso bright I love you nmore than the number nof star at night nKindly follow me please nHarry nâ 90 127,joy,joy
use to think the fire detector go off at my old place when boil water be bad but this one go off bc of DUST and wouldnt turn off,anger,anger
I watch BacheloretteAU or Zoolander samvrhys,joy,joy
free kick from Rooney be awful,fear,fear
tend to them he s go to get infections n nHe s frown and look down as he do this nIt must hurt damn,sadness,sadness
So look like would rather lose all my business than let me apply my credit towards my change fee due to terrorism,sadness,fear
Celtic give us something to cheer place be empty soak amp its my wee nephew s Birthday ffs start well now drop off,joy,joy
on allume madden,anger,anger
Impractical Jokers practically genius laughter good4thesoul ImpracticalJokers bingewatching,joy,joy
still laugh Bitch take my pillow line kurt,fear,joy
to self Stop laugh at things that offend you it s ok to get mad at people n NoteToSelf offend mad upset,anger,anger
nâ momentarily before it disappear only solemnity and anxiety lace his feature n n I run out to get you before â,fear,sadness
a big wasp buzz between my blind and my window Halp wasp evil buzz,anger,anger
have serious separation anxiety ðŸ ðŸ ðŸ,sadness,fear
great mind think alike rejoice,joy,joy
worry about me more than I worry about myself ðŸ ðŸ,fear,fear
It be important to seek peace even in the midst of a horrific war CreateSyria TalkingPeace buildingpeace,fear,fear
I m sure you ll have a heyday if they do,joy,joy
Bout ta get my dontbreathe on up in here icantholdmybreaththatlong,fear,fear
shock attempt cross,fear,fear
on my interview at hospital tho ðŸ ˆðŸ ˆ nervous,fear,fear
customers get angry at me bc i aint get no marlboro light in the gas hut i call them in 2 hours ago fuck you,anger,anger
hit up breezy every day to make sure he s break in my boot First class friend right there,joy,joy
safety nHi ðŸŒ nWhy do you always suspend ISIS hunters n nðŸ snafy2019 n nKindly please reinstate our members n He fight terrorism d n,fear,fear
a specific joyous 20 song title engiybhekayo yasezayoni Need it for le mood,joy,joy
please put a leave turn signal at Williams and Ivan Allen Jr Blvd This be absolutely ridiculous ATLtraffic,fear,fear
If you re still discourage it mean you re listen to the wrong voice amp look to the wrong source Look to the LORD,sadness,sadness
ever just be really irritate with someone u love it s like god damn ur makin me angry but I love u so I forgive u but I m angry,anger,anger
Wait didn t she get a case of the ass when Donald Trump call it terrorism BEFORE all the facts be in I guess it s ok if she do,fear,fear
my typical shake be 100g banana 1c almond milk 1tbsp chia and protein Sometimes I add PB2 or ice or other fruit,fear,fear
goodbye despair,sadness,fear
I think that be funny too But maybe not such a coincidence Green must be the official color of optimism,joy,joy
A thin lipped smile grace gloss lips as she let blue peer over at the woman A constant delight As always,joy,joy
feel like a burden every day that I waste but I don t know how to get out of this bc I get so discourage all I wan na do be lay around ðŸ ƒ,sadness,sadness
lose i m fade,sadness,sadness
just grab a bible open it start read and then say where do they talk about burn people,anger,anger
envy ice at least if you give it warmth it melt TaylorLautner Twilight quote,fear,joy
It s be a week of awful connectivity with no service or only 4G be not what Im pay for unhappy poorservice,fear,sadness
soul be weary of fight the battle in this world BlackInAmerica WeAreNotSafe,sadness,sadness
miss my naivety and blind optimism,joy,joy
interest that we an Authentic Afghan Restaurant R get call from the media over resent tragedy that happen in NJ latimes,anger,anger
frustration look up at Elphaba in a frown of aggravation Her high pitch voice be grow more and more,sadness,anger
mean i guess most of the mean ones be treat as like playful but i want to support yoosung without date him __,fear,joy
name change Uncle Remus Lewis foh theydontlikeyoueither lose unwoke,sadness,sadness
the name of our Lord amp Saviour Harambe we pray bless all ape across the world n nHear our solemn oaths and pardon sympathetic hominids,fear,sadness
The concept that a gay magazine feel like it have to cover terrible people because theyâ re gay voice seem all upside down,fear,fear
to see when smart CowboysTwitter folks chirp the same stuff you do during your review This be why I join,joy,joy
what a nightmare,fear,fear
just leave and aggravate bae,anger,anger
pixietangerine im so exit I be shake so much ðŸ ðŸ and im so pround of Colleen and the fandom Everyone be amaze ðŸ,fear,fear
He just have that way of think he want absolute hope bear from absolute despair,sadness,fear
indermethil True We be rejoice the fact that we sign a quality young CB but we need one more at least mebbe P,joy,joy
get offend or furious that a writers style isn t to your taste be ultimately daft I suppose,anger,anger
tire of people tell me the worry about me when in fact they probably never give a fuck about me,fear,fear
get so nervous even think about talk to I wan na die,fear,fear
I ll get this Best Buy job and officaly start my stream career work towards do something I love 1DayAtaTime,fear,fear
In your Concorde Lounge in Terminal 7 JFK So sadden to have to say service so far be dismal Don t expect a reply,sadness,sadness
be magpies gather around me help I m go to be swoop terrorism,fear,fear
NahteWilly that be neither intelligent definitive or useful shall I name call or would you like to expand on how I have offend you,anger,anger
spend a grand total of five minutes sober since Sunday even freshers,sadness,sadness
a very old person I can t handle some stuff lol I just leave her there Get back to me when you re sober,sadness,sadness
ChristianJMay nConfidence hold up despite constant and continual doom and gloom,anger,sadness
that the concept of label exclusivity be become faux pas Always believe it hold artists back while create label distrust,fear,fear
OMG NOL i love u so so much i love ur cheery face and hug ðŸ ðŸ ðŸ,joy,joy
everyone at HSSU stop walk with your phone up so I can smile and wave at you and you can smile and wave back,joy,joy
to be up in 4 hours to go back to work cantsleep excite nervous,fear,fear
Vice President Sarwar Danish slam Pakistan for breed terrorism during UNGA address n UN USA,fear,fear
what a 90s tv bully would call a nerd but i would rather shove one thousand nickel into my right earhole than go to new york comic con,fear,fear
shock,fear,fear
take me with you JK Have fun relax get a massage or two and chill Don t eat the cucumbers most place frown on that,sadness,sadness
holy shit what the hell happen to your lips Fix that shit mtv teenmom horrible,fear,fear
economic gloom The brightest star shine in the darkest nights Our html5 webdesign rock rtblitz finovate wlsb,sadness,sadness
And waxen in their mirth and neeze and swear nA merrier hour be never waste there n AMNDBots,anger,joy
morning Welcome the new day into your life and your heart mindfulness zen,joy,joy
n nother begin tell a story he realize that she be make an attempt at cheer him up It be sweet of her and so âž,joy,joy
season 13 of grey anatomy premier today it you re only on season 7 sadness,sadness,sadness
study skills be terrible ðŸ,fear,fear
the future doesn t fill you with existential dread be you even a real person,fear,fear
a friend lose his her phone how long do they have to mourn their lose phone before you ask for their earpiece,sadness,sadness
IT S GAME DAY T MINUS 14 30 relentless,anger,anger
GroovyBruce larsrjs44 AshvsEvilDead the groovier part be an affront to common decency No way agree,anger,anger
u know ion play that shit bout my weary brother,sadness,sadness
outrage over Kessel s tweet by butthurt USA players be hilarious,anger,anger
it can go one of two ways You either get over it and accept it because it s not go to change or you mope about,sadness,sadness
Chris Williams 5 yards shy of join 1 00 yard club Bowman 1 279 Walker 1 168 amp Roosevelt 1 095 already there CFL,fear,fear
be perception See it in someone else You also at some level have that within you anger worry,fear,fear
do Ryan Murphy create both AHS and glee nSo different,joy,joy
the red one would look super pretty with a bronzy glowy nude lip makeup look 3rd black would be pretty with a dark lip ðŸ,sadness,sadness
this doom and gloom We score from open play again And only concede two this time progress they mean a 1 1 draw on Saturday for me,sadness,sadness
X Do you hear me Darn Your optimism lead to your own demise You should li live ZeroBOT,joy,joy
HillaryClinton realDonaldTrump bully Bullshit fullofshit please take out the garbage,fear,fear
bmth cancel Melbourne show fanfuckingtastic just lose a days pay and hotel fee not happy atm sad angry,anger,anger
It s daunt try to follow Swift news trend and face mind shatter pattern term leave and right I m try to adopt gently,fear,fear
Awesome My 9 yr old grandson run cross country No Simon Whitfield but still a lot of fun cheer him on,joy,joy
non permissive environment be also call a battleground MilSpeak hilarious,joy,joy
but your pussy be weak from what I hear so stfu up to me bitch You get to threaten him that your pregnant,fear,fear
smile can mean a thousand word but it can also hide a thousand problems Fact TeamFollowBack,joy,joy
get my revenge soon,anger,anger
This be the blue junior I m look forward to play on it as soon as possible guitar guitarrist music,sadness,sadness
ppl on here defend cop as they continue to kill innocent ppl or ppl who aren t innocent but clearly cooperate irritate tf outta me,anger,anger
haiku n nThe crisp autumn air nMy freedom purchase through death nNo one will mourn me,sadness,sadness
anxiety I have right nowðŸ ðŸ ðŸ,fear,fear
hell Rush for the damn train also no use Fucking 4min wait Still sweat rage smrtruinslives,anger,anger
UNGA no talk should be carry out with Pakistan now His mouth stink of UriAttack,fear,fear
set off the fire alarm and I m so angry because I be in the middle of moisturize my elbow,fear,fear
TalesofanAlfa nI like your think but sadly no that s the shed ðŸ,sadness,sadness
and breezy should do a collab album Rapping and sing prolly be fire,joy,joy
UPLIFT If you re still discourage it mean UR Listening to the wrong voice amp look to the wrong source Look to the LORD,sadness,fear
ughh I just want all this to be over it s like a nightmare can we all just get along,fear,fear
future be bright Remember,joy,joy
should have stay at home,sadness,sadness
take a yr off school and I m proud to say I get accept again yo girl be go to finish happy,joy,joy
fear that if United bottle this my heart would actually collapse from laughter,fear,joy
You offend me,anger,anger
my breezy breezy breezy that s my breezy that s my buzzinn,joy,joy
to give my 11yo AfAm son this advice today be polite no sudden movements keep hand where they can see them sadness,sadness,sadness
Don t let the behavior of others destroy ur inner peace Dalai Lama heal depression anxiety intuition meditation book,fear,sadness
Just my attempt at levity ðŸ,joy,joy
Taoist_Skeptic jackaberlin DrJillStein Doubt U have anything to be afraid of as Trump have be vilify minorities amp women,fear,fear
Huh It s always my fault isn t it gt sulk,sadness,anger
Southampton will wipe the floor with west ham on Sunday So dishearten,sadness,sadness
bring back great memories of hilarity on SATURDAYNIGHTLIVE,joy,joy
MLB Sam Dyson be probably have flashbacks right about now,fear,fear
Good morning love Happy first day of fall Let s make some awesome autumnmemories annabailey laughter smile,joy,joy
He doesn t intimidate me it just annoy me to have him by my side The further he be the better I feel,fear,fear
all black tomorrow as I continue to mourn the live of the most recent victims of police brutality blackout WU,sadness,sadness
I be practically obsess with it the very think of their departure make me feel both melancholic and grateful Safe journey,fear,sadness
categ than GEN amp OBC it cost only 100 or nill i be not against the reservation and i support it sir minimize the fee bright fut,joy,joy
what a happy look couple,joy,joy
AOLUK JamesHayr Anychance of address the communication I send to you yesterday I still haven t have any contact shock,fear,fear
do the most on twitter and snap,anger,anger
broadly you should be criminalize for post a pic of that brown frown Get a pic of some jack or cookies or diesel Join up,anger,sadness
Going to get myself a copy of CUJO for an upcoming project that I can t talk about just yet horror amwriting,fear,fear
literally kill depression relieve anxiety and strengthen the immune system,sadness,sadness
I m so starve for content I d take it but I d def pout about it ÕŸàº Í àª ÕŸàº Í,sadness,anger
maybe he have constipation issue Not that I KNOW date relieve such an affliction No way jose,sadness,sadness
a pet store worker ask do you want to play with them be the most exhilarate feel,joy,joy
berniebrocialists of all genders if I live in a swingish state I would w o hesitation vote Clinton amp would do so w o support her,fear,fear
Another grim amp compel news report by on the blockade of aid to the starve in Yemen BBC dosomethingpoliticans,sadness,sadness
13 hour rid make me sorry,fear,anger
I need to cheer up,joy,joy
it s funny how they can be in such a hurry but have plenty of time to stop and threaten people,fear,fear
quote from a 7 in German Almost happy,joy,joy
Spent months arrange swap new job etc now I ve find out she s be lead me on a merry dance fume with her,anger,anger
go to the doctor on so many level but least I can go sleep with a smile just watch Dwight on live nation,joy,joy
This week s Massacre Theatre pert by be the first one I can think of that require subtitle breathless,fear,fear
my kindness for weakness when you act silly keep it 100 ain t your fortÃ ChrisBrown TeamBreezy,joy,joy
this be get out of hand I m freak out by this death and I m God mommaGrendel intimidation,fear,fear
school my classmate be with me at music class and he sing Hallelujah like god with my friend we be breathless,fear,fear
Can you imagine be the person who have to spray tan him,fear,fear
forward to the detour because they bring delightful surprise lifequote delight,joy,joy
don t get how people can leave their phone on don t disturb all day do your mom not threaten you when you don t respond within second,fear,fear
RealKyper watch the jubilant scrum at the end of the day and remember they re all still kid priceless,joy,joy
wonder if Corey will vote for Nicole snacole bb18 paulsgonnawin finale halfamill,fear,fear
TamraBarney ShannonBeador Tamra would F her up if she swing on Tamra nKelly be a piece of ðŸ needstobeadmitted,fear,fear
have determine 70 of laughter be actually,joy,fear
be the best thing I ve see in age So funny I ve miss Bridget love TeamMark,joy,joy
you saw a t shirt with the phrase My mind be a dangerous place to be and you would like to buy but in Italy don t sell it sadness,sadness,sadness
We be rag angry 1 2 bil for 2 pro Liars Actors the most useless people in america Where be ours for work 100 X harder,anger,anger
I m work and I know you re work keep in touch with other woman cuz you make me nervous OffTop,fear,fear
If you really care like you state flyfrontier then I would seriously address sensitivity train to your employees awful,fear,fear
wan na see you smile I don t wan na see you make a frown,sadness,sadness
first you take the room now you wan na beat me up bully,fear,fear
city s kit be dreadful,sadness,fear
can not depict what I feel right now I feel jubilant yet anxious or dunno It seem like now I m have something worth wait everyday,fear,joy
ykrahs66 HaiderAlAbadi 95 of Iraqi political be fight with Iran against Iraq in 80s 99 of terror in Iraq be Iranian,fear,fear
don t leave me,fear,sadness
be the biggest victim of terrorism Nawaz Sharif nReally It should have be biggest creator of terrorism UNGA,fear,fear
GeordieTommy_ High school or not it s still shock Just because you love Xbox Good luck tomorrow ðŸ ª,fear,fear
â œBe positive cheerful grateful and expectant â Success Leadership,joy,joy
go home and focus up on this game Don t wan na rage at all,anger,anger
teach me how to cheer someone up,joy,joy
missmeliss465 WellWeds siggyflicker whispernghope awe I feel so bad be naive ou be the worst,fear,fear
she be from the heyday 80 s could go either way write should be stronger but don t know who will be sacrifice first,fear,joy
I the only one with park sensors who still manage to reverse into things nightmare,fear,fear
be about to be a coward and I feel terrible But I can t even face this ðŸ,fear,fear
I m spry though,joy,joy
Sweet,fear,joy
Annoys me to about the Ortiz tribute too how would the Oriole fan and organization feel if Yanks do that to them awful,fear,fear
a goal to achieve something that s so big so exhilarate that excite you amp scar you at the same time â nâ BobProctor,joy,joy
shake though ðŸ ƒ,fear,fear
Please don t sulk over your defeat Come on Head up,joy,sadness
worry if you re not the best if you be do something you love you re head in right direction,fear,fear
Sorry wow_air definitely go with Icelandair next time this be beyond unreasonable terrible yourappologiesmeannothing,fear,fear
of PROFITABLE FX MONEY MANAGER clients don t mind with high profit share we take since they be very happy with the return they make,joy,joy
Getting cable hook up in new place just in time for NBCChicagoPD and premier be like God smile down on me OneChicago,joy,joy
Mets I m depress now,sadness,sadness
do u grieve someone who legally wasn t a person yet,sadness,sadness
